"RecID","InstAbbr","InstName","InstPlace","InstLand","NumberEntry","NameArchiveSet","ArchivePart","Specification","LogbookIdent","LogbookLanguage","EnteredBy","DASnumber","ImageNumber","VoyageFrom","VoyageTo","ShipName","ShipType","Company","OtherShipInformation","Nationality","Name1","Rank1","Name2","Rank2","Name3","Rank3","ZeroMeridian","StartDay","TimeGen","ObsGen","ReferenceCourse","ReferenceWindDirection","DistUnits","DistToLandmarkUnits","DistTravelledUnits","LongitudeUnits","VoyageIni","UnitsOfMeasurement","Calendar","Year","Month","Day","DayOfTheWeek","PartDay","TimeOB","Watch","Glasses","UTC","CMG","ShipSpeed","Distance","drLatDeg","drLatMin","drLatSec","drLatHem","drLongDeg","drLongMin","drLongSec","drLongHem","LatDeg","LatMin","LatSec","LatHem","LongDeg","LongMin","LongSec","LongHem","Lat3","Lon3","LatInd","LonInd","PosCoastal","EncName","EncNat","EncRem","Anchored","AnchorPlace","LMname1","LMdirection1","LMdistance1","LMname2","LMdirection2","LMdistance2","LMname3","LMdirection3","LMdistance3","EstError","ApplError","WindDirection","AllWindDirections","WindForce","WindForceScale","AllWindForces","WindScale","Weather","ShapeClouds","DirClouds","Clearness","PrecipitationDescriptor","CloudFrac","Gusts","Rain","Fog","Snow","Thunder","Hail","SeaIce","Duplicate","Release","SSTReading","SSTReadingUnits","StateSea","CurrentDir","CurrentSpeed","TairReading","AirThermReadingUnits","ProbTair","BaroReading","AirPressureReadingUnits","BarometerType","BarTempReading","BarTempReadingUnits","HumReading","HumidityUnits","HumidityMethod","PumpWater","WaterAtThePumpUnits","LifeOnBoard","LifeOnBoardMemo","Cargo","CargoMemo","ShipAndRig","ShipAndRigMemo","Biology","BiologyMemo","WarsAndFights","WarsAndFightsMemo","Illustrations","TrivialCorrection","OtherRem"
"93403","NAN","Nationaal Archief of the Netherlands","Den Haag","Nederland","1.04.02","152","VOC","5140","VOC_152_5140","Dutch","Frank Boekhorst","4510.2","VOC_152_5140_0012","Texel","Bengal","Straalen","","VOC","Journaal van de Uyt reyze met het Schip Straalen zeylende met godshulp na Bengaalen doormij Arie Dams Geseylt den 17 Deczember 1785 van Texel naar Cabo den Goeden Hoop","Dutch","Arie Dams","Kapitein","","","","","Tenerife","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17851218","","2","1785","12","23","","","12","","NA","1785122312","wtz1/2z","NA","28","49","24","0","N","10","30","0","E","NA","NA","NA","","NA","NA","NA","","49.4","-6.15","1","1","0","","","","0","","Eijland St Marie","ntw","9.5","","","NA","","","NA","","","o","otn-o","marszeilskoelte","NA","marszeilskoelte","","mooi weer","opklarende lucht","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","1","Overleden de moor Smoula","0","","1","Bragten ons bestek over in de ronde kaart van waar ons bestek onder Inverwagting van Godes Zeegen zijn aanvang neemt","0","","0","","0","0",""
"93404","NAN","Nationaal Archief of the Netherlands","Den Haag","Nederland","1.04.02","152","VOC","5140","VOC_152_5140","Dutch","Frank Boekhorst","4510.2","VOC_152_5140_0013","Texel","Bengal","Straalen","","VOC","Journaal van de Uyt reyze met het Schip Straalen zeylende met godshulp na Bengaalen doormij Arie Dams Geseylt den 17 Deczember 1785 van Texel naar Cabo den Goeden Hoop","Dutch","Arie Dams","Kapitein","","","","","Tenerife","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17851218","","2","1785","12","24","","","12","","NA","1785122413","zw","NA","27.5","48","11","0","N","8","38","0","E","48","10","0","N","NA","NA","NA","","48.1667","-8.01667","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","nno","noto-nno","labbere koelte","NA","labbere koelte","","hagel en regen","overdrijvende lucht","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"93405","NAN","Nationaal Archief of the Netherlands","Den Haag","Nederland","1.04.02","152","VOC","5140","VOC_152_5140","Dutch","Frank Boekhorst","4510.2","VOC_152_5140_0013","Texel","Bengal","Straalen","","VOC","Journaal van de Uyt reyze met het Schip Straalen zeylende met godshulp na Bengaalen doormij Arie Dams Geseylt den 17 Deczember 1785 van Texel naar Cabo den Goeden Hoop","Dutch","Arie Dams","Kapitein","","","","","Tenerife","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17851218","","2","1785","12","25","","","12","","NA","1785122513","zw","NA","19.5","47","17","0","N","7","19","0","E","46","41","0","N","NA","NA","NA","","46.6833","-9.33333","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","noto","noto","ongestadige koelte","NA","ongestadige koelte","","buiige lucht met regen","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"93478","NAN","Nationaal Archief of the Netherlands","Den Haag","Nederland","1.04.02","152","VOC","5140","VOC_152_5140","Dutch","Frank Boekhorst","4510.2","VOC_152_5140_0013","Texel","Bengal","Straalen","","VOC","Journaal van de Uyt reyze met het Schip Straalen zeylende met godshulp na Bengaalen doormij Arie Dams Geseylt den 17 Deczember 1785 van Texel naar Cabo den Goeden Hoop","Dutch","Arie Dams","Kapitein","","","","","Tenerife","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17851218","","2","1785","12","26","","","12","","NA","1785122613","zw","NA","35","45","1","0","N","4","55","0","E","44","42","0","N","NA","NA","NA","","44.7","-11.7333","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","no","ono-no","frisse koelte","NA","frisse koelte","","mooi weer","heldere lucht","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"93336","NAN","Nationaal Archief of the Netherlands","Den Haag","Nederland","1.04.02","152","VOC","5140","VOC_152_5140","Dutch","Frank Boekhorst","4510.2","VOC_152_5140_0014","Texel","Bengal","Straalen","","VOC","Journaal van de Uyt reyze met het Schip Straalen zeylende met godshulp na Bengaalen doormij Arie Dams Geseylt den 17 Deczember 1785 van Texel naar Cabo den Goeden Hoop","Dutch","Arie Dams","Kapitein","","","","","Tenerife","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17851218","","2","1785","12","27","","","12","","NA","1785122713","zw1/2z","NA","36","42","56","0","N","2","55","0","E","42","34","0","N","NA","NA","NA","","42.5667","-13.7333","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","ono","no-ono","bramzeilskoelte","NA","bramzeilskoelte","","regen tot mooi weer","wolkdrijvende betrokken lucht","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"93337","NAN","Nationaal Archief of the Netherlands","Den Haag","Nederland","1.04.02","152","VOC","5140","VOC_152_5140","Dutch","Frank Boekhorst","4510.2","VOC_152_5140_0014","Texel","Bengal","Straalen","","VOC","Journaal van de Uyt reyze met het Schip Straalen zeylende met godshulp na Bengaalen doormij Arie Dams Geseylt den 17 Deczember 1785 van Texel naar Cabo den Goeden Hoop","Dutch","Arie Dams","Kapitein","","","","","Tenerife","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17851218","","2","1785","12","28","","","12","","NA","1785122813","ztw","NA","36","40","13","0","N","2","18","0","E","40","8","0","N","NA","NA","NA","","40.1333","-14.35","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","ntw","nw-ntw","bramzeilskoelte","NA","bramzeilskoelte","","buiige lucht met regen","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"93338","NAN","Nationaal Archief of the Netherlands","Den Haag","Nederland","1.04.02","152","VOC","5140","VOC_152_5140","Dutch","Frank Boekhorst","4510.2","VOC_152_5140_0015","Texel","Bengal","Straalen","","VOC","Journaal van de Uyt reyze met het Schip Straalen zeylende met godshulp na Bengaalen doormij Arie Dams Geseylt den 17 Deczember 1785 van Texel naar Cabo den Goeden Hoop","Dutch","Arie Dams","Kapitein","","","","","Tenerife","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17851218","","2","1785","12","29","","","12","","NA","1785122913","ztw1/2w","NA","18","38","59","0","N","1","51","0","E","38","47","0","N","NA","NA","NA","","38.7833","-14.8","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","nnw","nnw","gemene koelte","NA","gemene koelte","","mooi weer","buiige lucht","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"93339","NAN","Nationaal Archief of the Netherlands","Den Haag","Nederland","1.04.02","152","VOC","5140","VOC_152_5140","Dutch","Frank Boekhorst","4510.2","VOC_152_5140_0015","Texel","Bengal","Straalen","","VOC","Journaal van de Uyt reyze met het Schip Straalen zeylende met godshulp na Bengaalen doormij Arie Dams Geseylt den 17 Deczember 1785 van Texel naar Cabo den Goeden Hoop","Dutch","Arie Dams","Kapitein","","","","","Tenerife","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17851218","","2","1785","12","30","","","12","","NA","1785123013","ztw","NA","25.5","37","23","0","N","1","30","0","E","37","16","0","N","NA","NA","NA","","37.2667","-15.15","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","w","nwtw-w","gereefde onderzeilskoelte","NA","gereefde onderzeilskoelte","","regen weerligt harde buiien","overdrijvende lucht","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"93340","NAN","Nationaal Archief of the Netherlands","Den Haag","Nederland","1.04.02","152","VOC","5140","VOC_152_5140","Dutch","Frank Boekhorst","4510.2","VOC_152_5140_0016","Texel","Bengal","Straalen","","VOC","Journaal van de Uyt reyze met het Schip Straalen zeylende met godshulp na Bengaalen doormij Arie Dams Geseylt den 17 Deczember 1785 van Texel naar Cabo den Goeden Hoop","Dutch","Arie Dams","Kapitein","","","","","Tenerife","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17851218","","2","1785","12","31","","","12","","NA","1785123113","z1/2w","NA","20.5","35","55","0","N","1","20","0","E","35","40","0","N","NA","NA","NA","","35.6667","-15.3167","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","w","nwtw-w","ongestadige koelte","NA","afnemende en ongestadige koelte","","regen en vlagen","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"93479","NAN","Nationaal Archief of the Netherlands","Den Haag","Nederland","1.04.02","152","VOC","5140","VOC_152_5140","Dutch","Frank Boekhorst","4510.2","VOC_152_5140_0016","Texel","Bengal","Straalen","","VOC","Journaal van de Uyt reyze met het Schip Straalen zeylende met godshulp na Bengaalen doormij Arie Dams Geseylt den 17 Deczember 1785 van Texel naar Cabo den Goeden Hoop","Dutch","Arie Dams","Kapitein","","","","","Tenerife","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17851218","","2","1786","1","1","","","12","","NA","1786010113","zwtz w/z","NA","21","34","29","0","N","0","22","0","E","NA","NA","NA","","NA","NA","NA","","34.4833","-16.2833","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","zzo","otz-zzo","","NA","","","","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
