"RecID","InstAbbr","InstName","InstPlace","InstLand","NumberEntry","NameArchiveSet","ArchivePart","Specification","LogbookIdent","LogbookLanguage","EnteredBy","DASnumber","ImageNumber","VoyageFrom","VoyageTo","ShipName","ShipType","Company","OtherShipInformation","Nationality","Name1","Rank1","Name2","Rank2","Name3","Rank3","ZeroMeridian","StartDay","TimeGen","ObsGen","ReferenceCourse","ReferenceWindDirection","DistUnits","DistToLandmarkUnits","DistTravelledUnits","LongitudeUnits","VoyageIni","UnitsOfMeasurement","Calendar","Year","Month","Day","DayOfTheWeek","PartDay","TimeOB","Watch","Glasses","UTC","CMG","ShipSpeed","Distance","drLatDeg","drLatMin","drLatSec","drLatHem","drLongDeg","drLongMin","drLongSec","drLongHem","LatDeg","LatMin","LatSec","LatHem","LongDeg","LongMin","LongSec","LongHem","Lat3","Lon3","LatInd","LonInd","PosCoastal","EncName","EncNat","EncRem","Anchored","AnchorPlace","LMname1","LMdirection1","LMdistance1","LMname2","LMdirection2","LMdistance2","LMname3","LMdirection3","LMdistance3","EstError","ApplError","WindDirection","AllWindDirections","WindForce","WindForceScale","AllWindForces","WindScale","Weather","ShapeClouds","DirClouds","Clearness","PrecipitationDescriptor","CloudFrac","Gusts","Rain","Fog","Snow","Thunder","Hail","SeaIce","Duplicate","Release","SSTReading","SSTReadingUnits","StateSea","CurrentDir","CurrentSpeed","TairReading","AirThermReadingUnits","ProbTair","BaroReading","AirPressureReadingUnits","BarometerType","BarTempReading","BarTempReadingUnits","HumReading","HumidityUnits","HumidityMethod","PumpWater","WaterAtThePumpUnits","LifeOnBoard","LifeOnBoardMemo","Cargo","CargoMemo","ShipAndRig","ShipAndRigMemo","Biology","BiologyMemo","WarsAndFights","WarsAndFightsMemo","Illustrations","TrivialCorrection","OtherRem"
"121198","NIWI","Nederlands Instituut voor Wetenschappelijke Inform","Amsterdam","Nederland","F 1576","Bibliotheek NIWI","","","NIWI-F-1576","English","Frank Boekhorst","NA","","Hawaiian Islands","Prince William's Sound","Queen Charlotte","","","Betreft een gedrukte reis in: G. Dixon, A voyage around the world, but more particularly to the north-west coast of America, performed in 1785, 1786, 1787 and 1788 in The King George and Queen Charlotte. Captains Portlock and Dixon. London, 1789","British","G. Dixon","Captain","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17870315","","2","1787","3","15","","3","12","VM","8","1787031523","","NA","NA","NA","NA","NA","","NA","NA","NA","","21","29","0","N","159","0","0","W","21.4833","-159","2","2","0","","","","0","","Atoui, extremes","N-N35W","NA","","","NA","","","NA","","","ESE","ESE","moderate breezes","NA","Moderate breezes","","pleasant weather","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","80.5","Fahrenheit","26.9444","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"121199","NIWI","Nederlands Instituut voor Wetenschappelijke Inform","Amsterdam","Nederland","F 1576","Bibliotheek NIWI","","","NIWI-F-1576","English","Frank Boekhorst","NA","","Hawaiian Islands","Prince William's Sound","Queen Charlotte","","","Betreft een gedrukte reis in: G. Dixon, A voyage around the world, but more particularly to the north-west coast of America, performed in 1785, 1786, 1787 and 1788 in The King George and Queen Charlotte. Captains Portlock and Dixon. London, 1789","British","G. Dixon","Captain","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17870315","","2","1787","3","16","","3","12","VM","8","1787031623","","NA","NA","NA","NA","NA","","NA","NA","NA","","22","40","0","N","158","26","0","W","22.6667","-158.433","2","2","0","","","","0","","","","NA","","","NA","","","NA","","","SSE","SSE","fresh breezes","NA","Fresh breezes","","fine weather","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","77","Fahrenheit","25","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"121440","NIWI","Nederlands Instituut voor Wetenschappelijke Inform","Amsterdam","Nederland","F 1576","Bibliotheek NIWI","","","NIWI-F-1576","English","Frank Boekhorst","NA","","Hawaiian Islands","Prince William's Sound","Queen Charlotte","","","Betreft een gedrukte reis in: G. Dixon, A voyage around the world, but more particularly to the north-west coast of America, performed in 1785, 1786, 1787 and 1788 in The King George and Queen Charlotte. Captains Portlock and Dixon. London, 1789","British","G. Dixon","Captain","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17870315","","2","1787","3","17","","3","12","VM","8","1787031723","","NA","NA","NA","NA","NA","","NA","NA","NA","","24","25","0","N","158","11","0","W","24.4167","-158.183","2","2","0","","","","0","","","","NA","","","NA","","","NA","","","WNW","South-WNW","fresh gales","NA","Fresh gales","","cloudy rain","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","77.5","Fahrenheit","25.2778","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"121441","NIWI","Nederlands Instituut voor Wetenschappelijke Inform","Amsterdam","Nederland","F 1576","Bibliotheek NIWI","","","NIWI-F-1576","English","Frank Boekhorst","NA","","Hawaiian Islands","Prince William's Sound","Queen Charlotte","","","Betreft een gedrukte reis in: G. Dixon, A voyage around the world, but more particularly to the north-west coast of America, performed in 1785, 1786, 1787 and 1788 in The King George and Queen Charlotte. Captains Portlock and Dixon. London, 1789","British","G. Dixon","Captain","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17870315","","2","1787","3","18","","3","12","VM","8","1787031823","","NA","NA","NA","NA","NA","","NA","NA","NA","","26","6","0","N","158","18","0","W","26.1","-158.3","2","2","0","","","","0","","","","NA","","","NA","","","NA","","","variable","Variable","heavy gales","NA","Heavy gales","","squally rain","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","75","Fahrenheit","23.8889","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"121442","NIWI","Nederlands Instituut voor Wetenschappelijke Inform","Amsterdam","Nederland","F 1576","Bibliotheek NIWI","","","NIWI-F-1576","English","Frank Boekhorst","NA","","Hawaiian Islands","Prince William's Sound","Queen Charlotte","","","Betreft een gedrukte reis in: G. Dixon, A voyage around the world, but more particularly to the north-west coast of America, performed in 1785, 1786, 1787 and 1788 in The King George and Queen Charlotte. Captains Portlock and Dixon. London, 1789","British","G. Dixon","Captain","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17870315","","2","1787","3","19","","3","12","VM","8","1787031923","","NA","NA","NA","NA","NA","","NA","NA","NA","","27","24","0","N","158","17","0","W","27.4","-158.283","2","2","0","","","","0","","","","NA","","","NA","","","NA","","","SSW","SSW","fresh breezes","NA","Fresh breezes","","squally","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","70","Fahrenheit","21.1111","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"121443","NIWI","Nederlands Instituut voor Wetenschappelijke Inform","Amsterdam","Nederland","F 1576","Bibliotheek NIWI","","","NIWI-F-1576","English","Frank Boekhorst","NA","","Hawaiian Islands","Prince William's Sound","Queen Charlotte","","","Betreft een gedrukte reis in: G. Dixon, A voyage around the world, but more particularly to the north-west coast of America, performed in 1785, 1786, 1787 and 1788 in The King George and Queen Charlotte. Captains Portlock and Dixon. London, 1789","British","G. Dixon","Captain","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17870315","","2","1787","3","20","","3","12","VM","8","1787032023","","NA","NA","NA","NA","NA","","NA","NA","NA","","28","46","0","N","158","22","0","W","28.7667","-158.367","2","2","0","","","","0","","","","NA","","","NA","","","NA","","","SW","SW","moderate","NA","Moderate","","cloudy rain","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","69","Fahrenheit","20.5556","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"121444","NIWI","Nederlands Instituut voor Wetenschappelijke Inform","Amsterdam","Nederland","F 1576","Bibliotheek NIWI","","","NIWI-F-1576","English","Frank Boekhorst","NA","","Hawaiian Islands","Prince William's Sound","Queen Charlotte","","","Betreft een gedrukte reis in: G. Dixon, A voyage around the world, but more particularly to the north-west coast of America, performed in 1785, 1786, 1787 and 1788 in The King George and Queen Charlotte. Captains Portlock and Dixon. London, 1789","British","G. Dixon","Captain","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17870315","","2","1787","3","21","","3","12","VM","8","1787032123","","NA","NA","NA","NA","NA","","NA","NA","NA","","28","59","0","N","158","53","0","W","28.9833","-158.883","2","2","0","","","","0","","","","NA","","","NA","","","NA","","","NNE","NNE","light winds","NA","Light winds","","cloudy","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","71.5","Fahrenheit","21.9444","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"121445","NIWI","Nederlands Instituut voor Wetenschappelijke Inform","Amsterdam","Nederland","F 1576","Bibliotheek NIWI","","","NIWI-F-1576","English","Frank Boekhorst","NA","","Hawaiian Islands","Prince William's Sound","Queen Charlotte","","","Betreft een gedrukte reis in: G. Dixon, A voyage around the world, but more particularly to the north-west coast of America, performed in 1785, 1786, 1787 and 1788 in The King George and Queen Charlotte. Captains Portlock and Dixon. London, 1789","British","G. Dixon","Captain","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17870315","","2","1787","3","22","","3","12","VM","8","1787032223","","NA","NA","NA","NA","NA","","NA","NA","NA","","29","10","0","N","158","27","0","W","29.1667","-158.45","2","2","0","","","","0","","","","NA","","","NA","","","NA","","","NbW","NbW","light winds","NA","Light winds","","cloudy","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","68.5","Fahrenheit","20.2778","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"121446","NIWI","Nederlands Instituut voor Wetenschappelijke Inform","Amsterdam","Nederland","F 1576","Bibliotheek NIWI","","","NIWI-F-1576","English","Frank Boekhorst","NA","","Hawaiian Islands","Prince William's Sound","Queen Charlotte","","","Betreft een gedrukte reis in: G. Dixon, A voyage around the world, but more particularly to the north-west coast of America, performed in 1785, 1786, 1787 and 1788 in The King George and Queen Charlotte. Captains Portlock and Dixon. London, 1789","British","G. Dixon","Captain","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17870315","","2","1787","3","23","","3","12","VM","8","1787032323","","NA","NA","NA","NA","NA","","NA","NA","NA","","29","26","0","N","159","38","0","W","29.4333","-159.633","2","2","0","","","","0","","","","NA","","","NA","","","NA","","","NE","NE","light winds","NA","Light winds","","pleasant weather","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","67","Fahrenheit","19.4444","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"121447","NIWI","Nederlands Instituut voor Wetenschappelijke Inform","Amsterdam","Nederland","F 1576","Bibliotheek NIWI","","","NIWI-F-1576","English","Frank Boekhorst","NA","","Hawaiian Islands","Prince William's Sound","Queen Charlotte","","","Betreft een gedrukte reis in: G. Dixon, A voyage around the world, but more particularly to the north-west coast of America, performed in 1785, 1786, 1787 and 1788 in The King George and Queen Charlotte. Captains Portlock and Dixon. London, 1789","British","G. Dixon","Captain","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","360 degrees","17870315","","2","1787","3","24","","3","12","VM","8","1787032423","","NA","NA","NA","NA","NA","","NA","NA","NA","","31","17","0","N","159","20","0","W","31.2833","-159.333","2","2","0","","","","0","","","","NA","","","NA","","","NA","","","ENE","ENE","strong gales","NA","Strong gales","","squally fogs","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","61.5","Fahrenheit","16.3889","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
