"RecID","InstAbbr","InstName","InstPlace","InstLand","NumberEntry","NameArchiveSet","ArchivePart","Specification","LogbookIdent","LogbookLanguage","EnteredBy","DASnumber","ImageNumber","VoyageFrom","VoyageTo","ShipName","ShipType","Company","OtherShipInformation","Nationality","Name1","Rank1","Name2","Rank2","Name3","Rank3","ZeroMeridian","StartDay","TimeGen","ObsGen","ReferenceCourse","ReferenceWindDirection","DistUnits","DistToLandmarkUnits","DistTravelledUnits","LongitudeUnits","VoyageIni","UnitsOfMeasurement","Calendar","Year","Month","Day","DayOfTheWeek","PartDay","TimeOB","Watch","Glasses","UTC","CMG","ShipSpeed","Distance","drLatDeg","drLatMin","drLatSec","drLatHem","drLongDeg","drLongMin","drLongSec","drLongHem","LatDeg","LatMin","LatSec","LatHem","LongDeg","LongMin","LongSec","LongHem","Lat3","Lon3","LatInd","LonInd","PosCoastal","EncName","EncNat","EncRem","Anchored","AnchorPlace","LMname1","LMdirection1","LMdistance1","LMname2","LMdirection2","LMdistance2","LMname3","LMdirection3","LMdistance3","EstError","ApplError","WindDirection","AllWindDirections","WindForce","WindForceScale","AllWindForces","WindScale","Weather","ShapeClouds","DirClouds","Clearness","PrecipitationDescriptor","CloudFrac","Gusts","Rain","Fog","Snow","Thunder","Hail","SeaIce","Duplicate","Release","SSTReading","SSTReadingUnits","StateSea","CurrentDir","CurrentSpeed","TairReading","AirThermReadingUnits","ProbTair","BaroReading","AirPressureReadingUnits","BarometerType","BarTempReading","BarTempReadingUnits","HumReading","HumidityUnits","HumidityMethod","PumpWater","WaterAtThePumpUnits","LifeOnBoard","LifeOnBoardMemo","Cargo","CargoMemo","ShipAndRig","ShipAndRigMemo","Biology","BiologyMemo","WarsAndFights","WarsAndFightsMemo","Illustrations","TrivialCorrection","OtherRem"
"190288","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/A196","English","","NA","","Madras","Madagascar","Asia","3rd Rate","RN","64g 1346bm","British","George Vandeput","Captain","David Miller","1st Officer/Master","","","Madras","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17800425","standard","2","1780","4","25","Tuesday","","12","","NA","1780042506","S40E","NA","26","8","57","0","N","6","44","0","E","NA","NA","NA","","NA","NA","NA","","8.95","87.0033","1","1","0","","British","company","0","","Madras","N57W","156","","","NA","","","NA","","","SbE","variable-SbE","light breezes","NA","light breezes","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"190289","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/A196","English","","NA","","Madras","Madagascar","Asia","3rd Rate","RN","64g 1346bm","British","George Vandeput","Captain","David Miller","1st Officer/Master","","","Madras","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17800425","standard","2","1780","4","26","Wednesday","","12","","NA","1780042606","S34E","NA","20","8","41","0","N","6","55","0","E","NA","NA","NA","","NA","NA","NA","","8.68333","87.1867","1","1","0","","British","company","0","","Madras","N56W","163","","","NA","","","NA","","","SE","WSW-SE","light breezes","NA","light breezes","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","ENE","4 fthms per hr","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"190290","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/A196","English","","NA","","Madras","Madagascar","Asia","3rd Rate","RN","64g 1346bm","British","George Vandeput","Captain","David Miller","1st Officer/Master","","","Madras","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17800425","standard","2","1780","4","27","Thursday","","12","","NA","1780042706","S69E","NA","8","8","37","0","N","7","3","0","E","NA","NA","NA","","NA","NA","NA","","8.61667","87.32","1","1","0","","British","company","0","","Madras","N56W","166","","","NA","","","NA","","","NE","variable-NE","light airs","NA","light airs","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","NEbN ","2 fthms per hr","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"190291","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/A196","English","","NA","","Madras","Madagascar","Asia","3rd Rate","RN","64g 1346bm","British","George Vandeput","Captain","David Miller","1st Officer/Master","","","Madras","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17800425","standard","2","1780","4","28","Friday","","12","","NA","1780042806","N45E","NA","6","8","41","0","N","7","7","0","E","NA","NA","NA","","NA","NA","NA","","8.68333","87.3867","1","1","0","","British","company","0","","Madras","N57W","166","","","NA","","","NA","","","NW","NNW-NW","light airs","NA","light airs","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"190292","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/A196","English","","NA","","Madras","Madagascar","Asia","3rd Rate","RN","64g 1346bm","British","George Vandeput","Captain","David Miller","1st Officer/Master","","","Madras","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17800425","standard","2","1780","4","29","Saturday","","12","","NA","1780042906","S5E","NA","38","8","3","0","N","7","10","0","E","NA","NA","NA","","NA","NA","NA","","8.05","87.4367","1","1","0","","British","company with fleet","0","","Madras","N54W","175","","","NA","","","NA","","","WbS","NW-WbS","light breezes","NA","light breezes","","","","","cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"190293","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/A196","English","","NA","","Madras","Madagascar","Asia","3rd Rate","RN","64g 1346bm","British","George Vandeput","Captain","David Miller","1st Officer/Master","","","Madras","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17800425","standard","2","1780","4","30","Sunday","","12","","NA","1780043006","S6E","NA","68","6","55","0","N","7","17","0","E","NA","NA","NA","","NA","NA","NA","","6.91667","87.5533","1","1","0","","British","company with fleet","0","","Madras","N49W","190","","","NA","","","NA","","","W","WSW-W","light breezes","NA","light breezes and squally","","thunder and lightning","","","cloudy","","NA","0","0","0","0","1","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"190294","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/A266","English","","NA","","Madras","Madagascar","Asia","3rd Rate","RN","64g 1346bm","British","George Vandeput","Captain","David Miller","1st Officer/Master","","","Madras","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17800425","standard","2","1780","5","1","Monday","","12","","NA","1780050106","S4E","NA","70","5","45","0","N","7","22","0","E","NA","NA","NA","","NA","NA","NA","","5.75","87.6367","1","1","0","","British","company","0","","Madras","N44W","209","","","NA","","","NA","","","NNW","SWbW-NNW","light breezes","NA","light breezes","","","","","hazy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"190295","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/A266","English","","NA","","Madras","Madagascar","Asia","3rd Rate","RN","64g 1346bm","British","George Vandeput","Captain","David Miller","1st Officer/Master","","","Madras","12","","","Unknown","Unknown","Unknown","Leagues","nm","unknown","17800425","standard","2","1780","5","2","Tuesday","","12","","NA","1780050206","S20E","NA","69","4","41","0","N","7","46","0","E","NA","NA","NA","","NA","NA","NA","","4.68333","88.0367","1","1","0","","","","0","","Madras","N44W","229","","","NA","","","NA","","","W","NW-W","light breezes","NA","light breezes and squally","","","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"190296","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/A266","English","","NA","","Madras","Madagascar","Asia","3rd Rate","RN","64g 1346bm","British","George Vandeput","Captain","David Miller","1st Officer/Master","","","Madras","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17800425","standard","2","1780","5","3","Wednesday","","12","","NA","1780050306","S14E","NA","79","3","25","0","N","8","5","0","E","NA","NA","NA","","NA","NA","NA","","3.41667","88.3533","1","1","0","","British","company","0","","Madras","N39W","275","","","NA","","","NA","","","WbS","WSW-WbS","fresh breezes","NA","fresh breezes and squally","","","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"190297","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/A266","English","","NA","","Madras","Madagascar","Asia","3rd Rate","RN","64g 1346bm","British","George Vandeput","Captain","David Miller","1st Officer/Master","","","Madras","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17800425","standard","2","1780","5","4","Thursday","","12","","NA","1780050406","S20E","NA","72","2","17","0","N","8","30","0","E","NA","NA","NA","","NA","NA","NA","","2.28333","88.77","1","1","0","","British","company","0","","Madras","N37W","275","","","NA","","","NA","","","WbS","WSW-WbS","fresh breezes","NA","fresh breezes","","","","","hazy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
