"RecID","InstAbbr","InstName","InstPlace","InstLand","NumberEntry","NameArchiveSet","ArchivePart","Specification","LogbookIdent","LogbookLanguage","EnteredBy","DASnumber","ImageNumber","VoyageFrom","VoyageTo","ShipName","ShipType","Company","OtherShipInformation","Nationality","Name1","Rank1","Name2","Rank2","Name3","Rank3","ZeroMeridian","StartDay","TimeGen","ObsGen","ReferenceCourse","ReferenceWindDirection","DistUnits","DistToLandmarkUnits","DistTravelledUnits","LongitudeUnits","VoyageIni","UnitsOfMeasurement","Calendar","Year","Month","Day","DayOfTheWeek","PartDay","TimeOB","Watch","Glasses","UTC","CMG","ShipSpeed","Distance","drLatDeg","drLatMin","drLatSec","drLatHem","drLongDeg","drLongMin","drLongSec","drLongHem","LatDeg","LatMin","LatSec","LatHem","LongDeg","LongMin","LongSec","LongHem","Lat3","Lon3","LatInd","LonInd","PosCoastal","EncName","EncNat","EncRem","Anchored","AnchorPlace","LMname1","LMdirection1","LMdistance1","LMname2","LMdirection2","LMdistance2","LMname3","LMdirection3","LMdistance3","EstError","ApplError","WindDirection","AllWindDirections","WindForce","WindForceScale","AllWindForces","WindScale","Weather","ShapeClouds","DirClouds","Clearness","PrecipitationDescriptor","CloudFrac","Gusts","Rain","Fog","Snow","Thunder","Hail","SeaIce","Duplicate","Release","SSTReading","SSTReadingUnits","StateSea","CurrentDir","CurrentSpeed","TairReading","AirThermReadingUnits","ProbTair","BaroReading","AirPressureReadingUnits","BarometerType","BarTempReading","BarTempReadingUnits","HumReading","HumidityUnits","HumidityMethod","PumpWater","WaterAtThePumpUnits","LifeOnBoard","LifeOnBoardMemo","Cargo","CargoMemo","ShipAndRig","ShipAndRigMemo","Biology","BiologyMemo","WarsAndFights","WarsAndFightsMemo","Illustrations","TrivialCorrection","OtherRem"
"255895","MMR","Maritiem Museum Rotterdam","Rotterdam","Nederland","H97","","","","MMR_VOC_H97","Dutch","Pim Vente","NA","","Kaap de Goede Hoop","Kopenhagen","Kroonprincesse Maria","","OIC","Samenvatting van een journaal van de Deense Oost-Indiëvaarder. Zeer beknopt. Alleen het bestek, de positie en het weer zijn vermeld.","Danish","Jacobus Arkenbout","KtZ","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","180 degrees","17980308","","2","1798","3","8","","","12","","NA","1798030812","","NA","NA","NA","NA","NA","","NA","NA","NA","","NA","NA","NA","","NA","NA","NA","","NA","NA","6","6","0","","","","0","","","","NA","","","NA","","","NA","","","","","","NA","","","","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0","Onder zeil van Kaap de Goede Hoop naar Europa."
"255896","MMR","Maritiem Museum Rotterdam","Rotterdam","Nederland","H97","","","","MMR_VOC_H97","Dutch","Pim Vente","NA","","Kaap de Goede Hoop","Kopenhagen","Kroonprincesse Maria","","OIC","Samenvatting van een journaal van de Deense Oost-Indiëvaarder. Zeer beknopt. Alleen het bestek, de positie en het weer zijn vermeld.","Danish","Jacobus Arkenbout","KtZ","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","180 degrees","17980308","","2","1798","3","9","","3","12","VM","8","1798030912","n 52 w","NA","47.625","32","20","0","S","15","26","0","0","NA","NA","NA","","NA","NA","NA","","-32.3333","NA","1","6","0","","","","0","","","","NA","","","NA","","","NA","","","z","zo-z","frisse bramzeilskoelte","NA","frisse bramzeilskoelte","","","","","klare lucht","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0","Verheid is 47 5/8."
"255897","MMR","Maritiem Museum Rotterdam","Rotterdam","Nederland","H97","","","","MMR_VOC_H97","Dutch","Pim Vente","NA","","Kaap de Goede Hoop","Kopenhagen","Kroonprincesse Maria","","OIC","Samenvatting van een journaal van de Deense Oost-Indiëvaarder. Zeer beknopt. Alleen het bestek, de positie en het weer zijn vermeld.","Danish","Jacobus Arkenbout","KtZ","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","180 degrees","17980308","","2","1798","3","10","","3","12","VM","8","1798031012","n 54 w","NA","51.5","30","25","0","S","12","11","0","0","NA","NA","NA","","NA","NA","NA","","-30.4167","NA","1","6","0","","","","0","","","","NA","","","NA","","","NA","","","zto","z-zto","frisse koelte","NA","frisse koelte","","soms buijig","","","klare lucht","","NA","1","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"255898","MMR","Maritiem Museum Rotterdam","Rotterdam","Nederland","H97","","","","MMR_VOC_H97","Dutch","Pim Vente","NA","","Kaap de Goede Hoop","Kopenhagen","Kroonprincesse Maria","","OIC","Samenvatting van een journaal van de Deense Oost-Indiëvaarder. Zeer beknopt. Alleen het bestek, de positie en het weer zijn vermeld.","Danish","Jacobus Arkenbout","KtZ","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","180 degrees","17980308","","2","1798","3","11","","3","12","VM","8","1798031112","n 54 w","NA","51.5","28","20","0","S","9","0","0","0","NA","NA","NA","","NA","NA","NA","","-28.3333","NA","1","6","0","","","","0","","","","NA","","","NA","","","NA","","","zzo","z-zzo","frisse bramzeilskoelte","NA","frisse bramzeilskoelte","","","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"255899","MMR","Maritiem Museum Rotterdam","Rotterdam","Nederland","H97","","","","MMR_VOC_H97","Dutch","Pim Vente","NA","","Kaap de Goede Hoop","Kopenhagen","Kroonprincesse Maria","","OIC","Samenvatting van een journaal van de Deense Oost-Indiëvaarder. Zeer beknopt. Alleen het bestek, de positie en het weer zijn vermeld.","Danish","Jacobus Arkenbout","KtZ","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","180 degrees","17980308","","2","1798","3","12","","3","12","VM","8","1798031212","n 49 w","NA","50.625","26","14","0","S","6","8","0","0","NA","NA","NA","","NA","NA","NA","","-26.2333","NA","1","6","0","","","","0","","","","NA","","","NA","","","NA","","","zoto","zotz-zoto","frisse bramzeilskoelte","NA","frisse bramzeilskoelte","","","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"255900","MMR","Maritiem Museum Rotterdam","Rotterdam","Nederland","H97","","","","MMR_VOC_H97","Dutch","Pim Vente","NA","","Kaap de Goede Hoop","Kopenhagen","Kroonprincesse Maria","","OIC","Samenvatting van een journaal van de Deense Oost-Indiëvaarder. Zeer beknopt. Alleen het bestek, de positie en het weer zijn vermeld.","Danish","Jacobus Arkenbout","KtZ","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","180 degrees","17980308","","2","1798","3","13","","3","12","VM","8","1798031312","n 46 w","NA","40","24","18","0","S","4","1","0","0","NA","NA","NA","","NA","NA","NA","","-24.3","NA","1","6","0","","","","0","","","","NA","","","NA","","","NA","","","zotz","zotz","bramzeilskoelte","NA","bramzeilskoelte","","mooi weer","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"255901","MMR","Maritiem Museum Rotterdam","Rotterdam","Nederland","H97","","","","MMR_VOC_H97","Dutch","Pim Vente","NA","","Kaap de Goede Hoop","Kopenhagen","Kroonprincesse Maria","","OIC","Samenvatting van een journaal van de Deense Oost-Indiëvaarder. Zeer beknopt. Alleen het bestek, de positie en het weer zijn vermeld.","Danish","Jacobus Arkenbout","KtZ","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","180 degrees","17980308","","2","1798","3","14","","3","12","VM","8","1798031412","n 46 w","NA","31.5","22","51","0","S","2","22","0","0","NA","NA","NA","","NA","NA","NA","","-22.85","NA","1","6","0","","","","0","","","","NA","","","NA","","","NA","","","zzo","zzo","ongestadig","NA","ongestadig","","buijig met regen","","","","","NA","1","1","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"255902","MMR","Maritiem Museum Rotterdam","Rotterdam","Nederland","H97","","","","MMR_VOC_H97","Dutch","Pim Vente","NA","","Kaap de Goede Hoop","Kopenhagen","Kroonprincesse Maria","","OIC","Samenvatting van een journaal van de Deense Oost-Indiëvaarder. Zeer beknopt. Alleen het bestek, de positie en het weer zijn vermeld.","Danish","Jacobus Arkenbout","KtZ","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","180 degrees","17980308","","2","1798","3","15","","3","12","VM","8","1798031512","n 45 w","NA","35.75","21","10","0","S","0","33","0","0","NA","NA","NA","","NA","NA","NA","","-21.1667","NA","1","6","0","","","","0","","","","NA","","","NA","","","NA","","","zo","z-zo","variabel","NA","variabel en bramzeilskoelte","","buijig","","","","","NA","1","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"255903","MMR","Maritiem Museum Rotterdam","Rotterdam","Nederland","H97","","","","MMR_VOC_H97","Dutch","Pim Vente","NA","","Kaap de Goede Hoop","Kopenhagen","Kroonprincesse Maria","","OIC","Samenvatting van een journaal van de Deense Oost-Indiëvaarder. Zeer beknopt. Alleen het bestek, de positie en het weer zijn vermeld.","Danish","Jacobus Arkenbout","KtZ","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","180 degrees","17980308","","2","1798","3","16","","3","12","VM","8","1798031612","n 44 w","NA","36.75","19","17","0","S","1","16","0","W","NA","NA","NA","","NA","NA","NA","","-19.2833","-1.26667","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","zo","zzo-zo","ongestadige bramzeilskoelte","NA","ongestadige bramzeilskoelte","","buijig","","","","","NA","1","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"255904","MMR","Maritiem Museum Rotterdam","Rotterdam","Nederland","H97","","","","MMR_VOC_H97","Dutch","Pim Vente","NA","","Kaap de Goede Hoop","Kopenhagen","Kroonprincesse Maria","","OIC","Samenvatting van een journaal van de Deense Oost-Indiëvaarder. Zeer beknopt. Alleen het bestek, de positie en het weer zijn vermeld.","Danish","Jacobus Arkenbout","KtZ","","","","","Greenwich","Unknown","","","Unknown","Unknown","Unknown","","","180 degrees","17980308","","2","1798","3","17","","3","12","VM","8","1798031712","n 44 w","NA","30.25","17","53","0","S","2","44","30","W","NA","NA","NA","","NA","NA","NA","","-17.8833","-2.78333","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","zo","zzo-zo","","NA","","","mooi weer","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
