"RecID","InstAbbr","InstName","InstPlace","InstLand","NumberEntry","NameArchiveSet","ArchivePart","Specification","LogbookIdent","LogbookLanguage","EnteredBy","DASnumber","ImageNumber","VoyageFrom","VoyageTo","ShipName","ShipType","Company","OtherShipInformation","Nationality","Name1","Rank1","Name2","Rank2","Name3","Rank3","ZeroMeridian","StartDay","TimeGen","ObsGen","ReferenceCourse","ReferenceWindDirection","DistUnits","DistToLandmarkUnits","DistTravelledUnits","LongitudeUnits","VoyageIni","UnitsOfMeasurement","Calendar","Year","Month","Day","DayOfTheWeek","PartDay","TimeOB","Watch","Glasses","UTC","CMG","ShipSpeed","Distance","drLatDeg","drLatMin","drLatSec","drLatHem","drLongDeg","drLongMin","drLongSec","drLongHem","LatDeg","LatMin","LatSec","LatHem","LongDeg","LongMin","LongSec","LongHem","Lat3","Lon3","LatInd","LonInd","PosCoastal","EncName","EncNat","EncRem","Anchored","AnchorPlace","LMname1","LMdirection1","LMdistance1","LMname2","LMdirection2","LMdistance2","LMname3","LMdirection3","LMdistance3","EstError","ApplError","WindDirection","AllWindDirections","WindForce","WindForceScale","AllWindForces","WindScale","Weather","ShapeClouds","DirClouds","Clearness","PrecipitationDescriptor","CloudFrac","Gusts","Rain","Fog","Snow","Thunder","Hail","SeaIce","Duplicate","Release","SSTReading","SSTReadingUnits","StateSea","CurrentDir","CurrentSpeed","TairReading","AirThermReadingUnits","ProbTair","BaroReading","AirPressureReadingUnits","BarometerType","BarTempReading","BarTempReadingUnits","HumReading","HumidityUnits","HumidityMethod","PumpWater","WaterAtThePumpUnits","LifeOnBoard","LifeOnBoardMemo","Cargo","CargoMemo","ShipAndRig","ShipAndRigMemo","Biology","BiologyMemo","WarsAndFights","WarsAndFightsMemo","Illustrations","TrivialCorrection","OtherRem"
"143200","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","6","Tuesday","","12","","NA","1791090612","SbW","NA","60","49","10","0","N","4","6","0","W","NA","NA","NA","","NA","NA","NA","","49.1667","-4.1","1","1","1","Fairy","British","","0","","Lizard","N48W","23.33","","","NA","","","NA","","","SWbW","SWbS, SWbW","moderate breezes","NA","light breezes to moderate breezes","","","","","fair then cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143201","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","7","Wednesday","","12","","NA","1791090712","S31W","NA","34","49","15","0","N","4","47","0","W","NA","NA","NA","","NA","NA","NA","","49.25","-4.78333","1","1","1","Fairy","British","","0","","Ushant","S6W","21.67","","","NA","","","NA","","","SSW","N, SSW","moderate breezes","NA","fresh breezes, am moderate breezes","","","","","cloudy","small rain","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","heavy swell","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143202","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","8","Thursday","","12","","NA","1791090812","S68W","NA","64","48","39","0","N","6","7","0","W","NA","NA","NA","","NA","NA","NA","","48.65","-6.11667","1","1","1","Fairy","British","","0","","Cape Finnister","S26W","125","","","NA","","","NA","","","variable","variable","moderate","NA","light airs, am moderate","","","","","variable then cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","heavy swell from W","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143203","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","9","Friday","","12","","NA","1791090913","SW","NA","160","46","46","0","N","8","47","0","W","NA","NA","NA","","NA","NA","NA","","46.7667","-8.78333","1","1","0","Fairy","British","","0","","Cape Finnister","S6W","75","","","NA","","","NA","","","SSE","SbE, SW, SSE","moderate breeze","NA","moderate breeze","","","","","","","NA","0","0","1","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143204","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","10","Saturday","","12","","NA","1791091013","S60W","NA","26","46","33","0","N","9","18","0","W","NA","NA","NA","","NA","NA","NA","","46.55","-9.3","1","1","0","","","","0","","Porto Sancto","S21W","290","","","NA","","","NA","","","WbS","SW, SSW, WbS","moderate","NA","light breezes, am moderate","","","","","fair and cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","swell from SW","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143205","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","11","Sunday","","12","","NA","1791091113","S50W","NA","49","46","2","0","N","10","10","0","W","NA","NA","NA","","NA","NA","NA","","46.0333","-10.1667","1","1","0","","Danish, Dutch","unknown","0","","Porto Sancto","S14E","61","","","NA","","","NA","","","SSW","variable, ESE, SSW","moderate breeze","NA","moderate breeze","","","","","hazy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","heavy swell","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143206","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","12","Monday","","12","","NA","1791091213","S37W","NA","63","45","12","0","N","11","3","0","W","NA","NA","NA","","NA","NA","NA","","45.2","-11.05","1","1","0","Fairy","British","","0","","Porto Sancto","S18W","255","","","NA","","","NA","","","SE","SEbE, SE","moderate","NA","moderate","","","","","cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143207","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","13","Tuesday","","12","","NA","1791091313","S21W","NA","44","44","31","0","N","11","24","0","W","NA","NA","NA","","NA","NA","NA","","44.5167","-11.4","1","1","0","Fairy","British","","0","","Porto Sancto","S18W","240","","","NA","","","NA","","","S","SSE, S","light airs","NA","light airs","","","","","hazy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143208","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","14","Wednesday","","12","","NA","1791091413","S40W","NA","41","44","0","0","N","12","0","0","W","NA","NA","NA","","NA","NA","NA","","44","-12","1","1","0","Fairy","British","","0","","Porto Sancto","S20W","246","","","NA","","","NA","","","SSE","S, SSE","light breezes","NA","light breezes","","","","","hazy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143209","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","15","Thursday","","12","","NA","1791091513","SSW","NA","75","42","20","0","N","12","39","0","W","NA","NA","NA","","NA","NA","NA","","42.3333","-12.65","1","1","0","Fairy","British","","0","","Madeira","S20W","220","","","NA","","","NA","","","SSE","E, SSE","light airs","NA","light airs","","","","","fair ","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143210","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","16","Friday","","12","","NA","1791091613","S22W","NA","109","41","9","0","N","13","35","0","W","NA","NA","NA","","NA","NA","NA","","41.15","-13.5833","1","1","0","Fairy","British","","0","","Madeira","S14W","166","","","NA","","","NA","","","ENE","ENE","moderate breezes","NA","moderate breezes","","","","","fair ","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143211","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","17","Saturday","","12","","NA","1791091713","S3W","NA","162","38","27","0","N","13","46","0","W","NA","NA","NA","","NA","NA","NA","","38.45","-13.7667","1","1","0","Fairy","British","","0","","Porto Sancto","S20W","114","","","NA","","","NA","","","EbS","EbN, EbS","moderate breezes","NA","moderate breezes","","","","","fair ","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143212","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","18","Sunday","","12","","NA","1791091813","S4W","NA","144","36","3","0","N","13","59","0","W","NA","NA","NA","","NA","NA","NA","","36.05","-13.9833","1","1","0","Fairy","British","","0","","Porto Sancto","S30W","69","","","NA","","","NA","","","NEbN","NW, NEbN","moderate breezes","NA","moderate breezes","","","","","cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143213","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","19","Monday","","12","","NA","1791091913","S10W","NA","137","33","45","0","N","14","27","0","W","NA","NA","NA","","NA","NA","NA","","33.75","-14.45","1","1","0","Fairy","British","","0","","Porto Sancto","S65W","30.67","","","NA","","","NA","","","N","NWbN, N","fresh breeze","NA","moderate breeze then fresh breeze","","","","","cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143214","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","20","Tuesday","","12","","NA","1791092013","S42W","NA","33","33","21","0","N","14","37","0","W","NA","NA","NA","","NA","NA","NA","","33.35","-14.6167","1","1","0","","","","0","","Porto Sancto","S78W","20","","","NA","","","NA","","","variable","variable","fresh breezes","NA","light breezes, am fresh breezes and squally","","","","","cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143215","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","21","Wednesday","","12","","NA","1791092113","S70W","NA","50","32","34","0","N","15","13","0","W","NA","NA","NA","","NA","NA","NA","","32.5667","-15.2167","1","1","0","","","","0","","Porto Sancto","N51W","18.67","","","NA","","","NA","","","variable","variable","fresh breezes","NA","fresh breezes and squally","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"143216","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM ADM/L/P268","English","","NA","","Spithead","Barbados","Proserpine","6th rate","RN","28g 593bm","British","James Alms","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","180 degrees","17910906","standard","2","1791","9","22","Thursday","","12","","NA","1791092213","S35W","NA","21","32","17","0","N","15","27","0","W","NA","NA","NA","","NA","NA","NA","","32.2833","-15.45","1","1","0","Fairy","British","","0","","Porto Sancto","N32W","20","","","NA","","","NA","","","WNW","WbN, WNW","moderate breezes","NA","moderate breezes","","","","","fair then clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
