"RecID","InstAbbr","InstName","InstPlace","InstLand","NumberEntry","NameArchiveSet","ArchivePart","Specification","LogbookIdent","LogbookLanguage","EnteredBy","DASnumber","ImageNumber","VoyageFrom","VoyageTo","ShipName","ShipType","Company","OtherShipInformation","Nationality","Name1","Rank1","Name2","Rank2","Name3","Rank3","ZeroMeridian","StartDay","TimeGen","ObsGen","ReferenceCourse","ReferenceWindDirection","DistUnits","DistToLandmarkUnits","DistTravelledUnits","LongitudeUnits","VoyageIni","UnitsOfMeasurement","Calendar","Year","Month","Day","DayOfTheWeek","PartDay","TimeOB","Watch","Glasses","UTC","CMG","ShipSpeed","Distance","drLatDeg","drLatMin","drLatSec","drLatHem","drLongDeg","drLongMin","drLongSec","drLongHem","LatDeg","LatMin","LatSec","LatHem","LongDeg","LongMin","LongSec","LongHem","Lat3","Lon3","LatInd","LonInd","PosCoastal","EncName","EncNat","EncRem","Anchored","AnchorPlace","LMname1","LMdirection1","LMdistance1","LMname2","LMdirection2","LMdistance2","LMname3","LMdirection3","LMdistance3","EstError","ApplError","WindDirection","AllWindDirections","WindForce","WindForceScale","AllWindForces","WindScale","Weather","ShapeClouds","DirClouds","Clearness","PrecipitationDescriptor","CloudFrac","Gusts","Rain","Fog","Snow","Thunder","Hail","SeaIce","Duplicate","Release","SSTReading","SSTReadingUnits","StateSea","CurrentDir","CurrentSpeed","TairReading","AirThermReadingUnits","ProbTair","BaroReading","AirPressureReadingUnits","BarometerType","BarTempReading","BarTempReadingUnits","HumReading","HumidityUnits","HumidityMethod","PumpWater","WaterAtThePumpUnits","LifeOnBoard","LifeOnBoardMemo","Cargo","CargoMemo","ShipAndRig","ShipAndRigMemo","Biology","BiologyMemo","WarsAndFights","WarsAndFightsMemo","Illustrations","TrivialCorrection","OtherRem"
"14910","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Madeira","Rio de Janeiro","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","nm","nm","360 degrees","17680919","standard","2","1768","9","19","Monday","","12","","NA","1768091912","","NA","NA","31","43","0","N","NA","NA","NA","","NA","NA","NA","","NA","NA","NA","","31.7167","NA","1","6","0","","","","0","","Funchall","N7E","49","","","NA","","","NA","","","ESE","ESE","light breezes","NA","light breezes","","","","","fine clear weather","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"14911","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Madeira","Rio de Janeiro","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","nm","nm","360 degrees","17680919","standard","2","1768","9","20","Tuesday","","12","","NA","1768092013","S21:30W","NA","28","31","17","0","N","17","9","0","W","NA","NA","NA","","NA","NA","NA","","31.2833","-17.15","1","1","0","","","","0","","Funchall","N13E","76","","","NA","","","NA","","","variable","variable","light airs","NA","light airs","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"14912","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Madeira","Rio de Janeiro","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","nm","nm","360 degrees","17680919","standard","2","1768","9","21","Wednesday","","12","","NA","1768092113","S60E","NA","60","30","46","0","N","16","8","0","W","NA","NA","NA","","NA","NA","NA","","30.7667","-16.1333","1","1","0","","","","0","","Funchall","N10W","113","","","NA","","","NA","","","SWbW","SSW-SWbW","fresh breezes","NA","first part light airs remainder fresh breezes","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"14913","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Madeira","Rio de Janeiro","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17680919","standard","2","1768","9","22","Thursday","","12","","NA","1768092213","S35:30E","NA","73","29","40","0","N","15","31","0","W","NA","NA","NA","","NA","NA","NA","","29.6667","-15.5167","1","1","0","","","","0","","Funchall","N21W","62","","","NA","","","NA","","","SW","SW","gentle breezes","NA","gentle breezes","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"14914","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Madeira","Rio de Janeiro","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17680919","standard","2","1768","9","23","Friday","","12","","NA","1768092313","S26W","NA","54","28","51","0","N","15","50","0","W","NA","NA","NA","","NA","NA","NA","","28.85","-15.8333","1","1","0","","","","0","","Funchall","N12:45W","77","","","NA","","","NA","","","NE","SW. NE","light breezes","NA","light breezes","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"14915","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Madeira","Rio de Janeiro","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","nm","nm","360 degrees","17680919","standard","2","1768","9","24","Saturday","","12","","NA","1768092413","","NA","NA","27","10","0","N","16","54","0","W","NA","NA","NA","","NA","NA","NA","","27.1667","-16.9","1","1","0","","","","0","","Peak of Teneriff","N18:45W","74","","","NA","","","NA","","","NEbE","NEbE","fresh breezes","NA","fresh breezes","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"14916","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Madeira","Rio de Janeiro","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17680919","standard","2","1768","9","25","Sunday","","12","","NA","1768092513","S41W","NA","126","25","36","0","N","18","32","0","W","NA","NA","NA","","NA","NA","NA","","25.6","-18.5333","1","1","0","","","","0","","Peak of Teneriff","N3:15E","61","","","NA","","","NA","","","ENE","EbN. ENE","steady trade wind","NA","steady trade wind","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"14917","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Madeira","Rio de Janeiro","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17680919","standard","2","1768","9","26","Monday","","12","","NA","1768092613","S22:15W","NA","122","23","43","0","N","19","23","0","W","NA","NA","NA","","NA","NA","NA","","23.7167","-19.3833","1","1","0","","","","0","","Peak of Teneriff","N29E","317","","","NA","","","NA","","","NEbE","NEbE","fresh breezes","NA","fresh breezes","","","","","some what hazy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"14918","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Madeira","Rio de Janeiro","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17680919","standard","2","1768","9","27","Tuesday","","12","","NA","1768092713","S19W","NA","145","21","26","0","N","20","14","0","W","NA","NA","NA","","NA","NA","NA","","21.4333","-20.2333","1","1","0","","","","0","","Peak of Teneriff","N26E","154","","","NA","","","NA","","","NE","NE","fresh breezes","NA","fresh breezes","","","","","some what hazy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"14919","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Madeira","Rio de Janeiro","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17680919","standard","2","1768","9","28","Wednesday","","12","","NA","1768092813","S12:30W","NA","150","18","59","0","N","20","48","0","W","NA","NA","NA","","NA","NA","NA","","18.9833","-20.8","1","1","0","","","","0","","Peak of Teneriff","N23:15E","204","","","NA","","","NA","","","ENE","NE. ENE","fresh trade","NA","fresh trade","","","","","hazy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
