"RecID","InstAbbr","InstName","InstPlace","InstLand","NumberEntry","NameArchiveSet","ArchivePart","Specification","LogbookIdent","LogbookLanguage","EnteredBy","DASnumber","ImageNumber","VoyageFrom","VoyageTo","ShipName","ShipType","Company","OtherShipInformation","Nationality","Name1","Rank1","Name2","Rank2","Name3","Rank3","ZeroMeridian","StartDay","TimeGen","ObsGen","ReferenceCourse","ReferenceWindDirection","DistUnits","DistToLandmarkUnits","DistTravelledUnits","LongitudeUnits","VoyageIni","UnitsOfMeasurement","Calendar","Year","Month","Day","DayOfTheWeek","PartDay","TimeOB","Watch","Glasses","UTC","CMG","ShipSpeed","Distance","drLatDeg","drLatMin","drLatSec","drLatHem","drLongDeg","drLongMin","drLongSec","drLongHem","LatDeg","LatMin","LatSec","LatHem","LongDeg","LongMin","LongSec","LongHem","Lat3","Lon3","LatInd","LonInd","PosCoastal","EncName","EncNat","EncRem","Anchored","AnchorPlace","LMname1","LMdirection1","LMdistance1","LMname2","LMdirection2","LMdistance2","LMname3","LMdirection3","LMdistance3","EstError","ApplError","WindDirection","AllWindDirections","WindForce","WindForceScale","AllWindForces","WindScale","Weather","ShapeClouds","DirClouds","Clearness","PrecipitationDescriptor","CloudFrac","Gusts","Rain","Fog","Snow","Thunder","Hail","SeaIce","Duplicate","Release","SSTReading","SSTReadingUnits","StateSea","CurrentDir","CurrentSpeed","TairReading","AirThermReadingUnits","ProbTair","BaroReading","AirPressureReadingUnits","BarometerType","BarTempReading","BarTempReadingUnits","HumReading","HumidityUnits","HumidityMethod","PumpWater","WaterAtThePumpUnits","LifeOnBoard","LifeOnBoardMemo","Cargo","CargoMemo","ShipAndRig","ShipAndRigMemo","Biology","BiologyMemo","WarsAndFights","WarsAndFightsMemo","Illustrations","TrivialCorrection","OtherRem"
"197928","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM Beaglehole","English","","NA","","Cape Pallisser New Zealand","Easter Island","Resolution","Sloop","RN","461bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17731127","standard","2","1773","11","27","Saturday","","12","","NA","1773112700","S14:45E","NA","107","NA","NA","NA","","184","1","0","W","43","27","0","S","NA","NA","NA","","-43.45","175.983","2","1","0","","","","0","","Cape Pallisser","NW1/2N","6","","","NA","","","NA","","","N","N","fresh gales","NA","fresh gales","","","","","fair","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"197929","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM Beaglehole","English","","NA","","Cape Pallisser New Zealand","Easter Island","Resolution","Sloop","RN","461bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17731127","standard","2","1773","11","28","Sunday","","12","","NA","1773112800","S25:15E","NA","57","NA","NA","NA","","183","28","0","W","44","18","0","S","NA","NA","NA","","-44.3","176.533","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","variable","variable","little wind","NA","first part fresh gales, remainder little wind","","","","","first part fair, remainder gloomy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"197930","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM Beaglehole","English","","NA","","Cape Pallisser New Zealand","Easter Island","Resolution","Sloop","RN","461bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17731127","standard","2","1773","11","29","Monday","","12","","NA","1773112900","S1/2E","NA","20","NA","NA","NA","","183","21","0","W","44","38","0","S","NA","NA","NA","","-44.6333","176.65","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","variable","variable","calm","NA","sometimes gentle breezes, other times next to a calm","","","","","fair","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"197931","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM Beaglehole","English","","NA","","Cape Pallisser New Zealand","Easter Island","Resolution","Sloop","RN","461bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17731127","standard","2","1773","11","30","Tuesday","","12","","NA","1773113000","S43E","NA","96","NA","NA","NA","","181","47","0","W","45","50","0","S","NA","NA","NA","","-45.8333","178.217","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","SW","SW","fresh gales","NA","fresh gales","","","","","cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","swell from SW","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"197657","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM Beaglehole","English","","NA","","Cape Pallisser New Zealand","Easter Island","Resolution","Sloop","RN","461bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17731127","standard","2","1773","12","1","Wednesday","","12","","NA","1773120100","S40E","NA","94","NA","NA","NA","","180","30","0","W","47","4","0","S","NA","NA","NA","","-47.0667","179.5","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","SW","SW","moderate","NA","first part fresh gales, latter moderate","","","","","cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","SW swell","","","49","Fahrenheit","9.44444","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"197769","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM Beaglehole","English","","NA","","Cape Pallisser New Zealand","Easter Island","Resolution","Sloop","RN","461bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17731127","standard","2","1773","12","2","Thursday","","12","","NA","1773120300","S31:45E","NA","93","NA","NA","NA","","179","16","0","W","48","23","0","S","NA","NA","NA","","-48.3833","-179.267","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","SWbW","SWbW","gentle gales","NA","gentle gales","","","","","cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","great swell from SW","","","47","Fahrenheit","8.33333","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"197649","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM Beaglehole","English","","NA","","Cape Pallisser New Zealand","Easter Island","Resolution","Sloop","RN","461bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17731127","standard","2","1773","12","3","Friday","","12","","NA","1773120400","S14E","NA","34","NA","NA","NA","","179","2","0","W","48","56","0","S","NA","NA","NA","","-48.9333","-179.033","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","NW","SWbW-NW","little wind","NA","little wind","","","","","","","NA","0","0","1","0","0","0","0","0","CLIWOC Version 1.1","NA","","swell from S","","","47","Fahrenheit","8.33333","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"197780","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM Beaglehole","English","","NA","","Cape Pallisser New Zealand","Easter Island","Resolution","Sloop","RN","461bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17731127","standard","2","1773","12","4","Saturday","","12","","NA","1773120500","SbW","NA","60","NA","NA","NA","","179","16","0","W","49","55","0","S","NA","NA","NA","","-49.9167","-179.267","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","NbE","NNW-NbE","little wind","NA","first part gentle breezes, remainder little wind","","remainder foggy","","","first part hazy","","NA","0","0","1","0","0","0","0","0","CLIWOC Version 1.1","NA","","great swell from S","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"197648","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM Beaglehole","English","","NA","","Cape Pallisser New Zealand","Easter Island","Resolution","Sloop","RN","461bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17731127","standard","2","1773","12","5","Sunday","","12","","NA","1773120500","S62W","NA","43","NA","NA","NA","","180","16","0","W","50","15","0","S","NA","NA","NA","","-50.25","179.733","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","SSE","variable, SSE","gentle breezes","NA","first part little wind, remainder gentle breezes","","first part foggy","","","remainder fair","firs part rainy","NA","0","0","1","0","0","0","0","0","CLIWOC Version 1.1","NA","","great hollow swell from SW","","","47","Fahrenheit","8.33333","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0","watch - 180:16W"
"197658","NMM","National Maritime Museum","Greenwich","United Kingdom","","","","","NMM Beaglehole","English","","NA","","Cape Pallisser New Zealand","Easter Island","Resolution","Sloop","RN","461bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","Unknown","17731127","standard","2","1773","12","6","Monday","","12","","NA","1773120600","S ","NA","43","NA","NA","NA","","180","16","0","W","50","50","0","S","NA","NA","NA","","-50.8333","179.733","2","1","0","","","","0","","","","NA","","","NA","","","NA","","","EbN","SSE, EbN","fresh breezes","NA","first and middle parts light airs, latter fresh breezes","","","","","first and middle parts cloudy","latter drizzling rain","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.1","NA","","SW swell","","","49","Fahrenheit","9.44444","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
