"RecID","InstAbbr","InstName","InstPlace","InstLand","NumberEntry","NameArchiveSet","ArchivePart","Specification","LogbookIdent","LogbookLanguage","EnteredBy","DASnumber","ImageNumber","VoyageFrom","VoyageTo","ShipName","ShipType","Company","OtherShipInformation","Nationality","Name1","Rank1","Name2","Rank2","Name3","Rank3","ZeroMeridian","StartDay","TimeGen","ObsGen","ReferenceCourse","ReferenceWindDirection","DistUnits","DistToLandmarkUnits","DistTravelledUnits","LongitudeUnits","VoyageIni","UnitsOfMeasurement","Calendar","Year","Month","Day","DayOfTheWeek","PartDay","TimeOB","Watch","Glasses","UTC","CMG","ShipSpeed","Distance","drLatDeg","drLatMin","drLatSec","drLatHem","drLongDeg","drLongMin","drLongSec","drLongHem","LatDeg","LatMin","LatSec","LatHem","LongDeg","LongMin","LongSec","LongHem","Lat3","Lon3","LatInd","LonInd","PosCoastal","EncName","EncNat","EncRem","Anchored","AnchorPlace","LMname1","LMdirection1","LMdistance1","LMname2","LMdirection2","LMdistance2","LMname3","LMdirection3","LMdistance3","EstError","ApplError","WindDirection","AllWindDirections","WindForce","WindForceScale","AllWindForces","WindScale","Weather","ShapeClouds","DirClouds","Clearness","PrecipitationDescriptor","CloudFrac","Gusts","Rain","Fog","Snow","Thunder","Hail","SeaIce","Duplicate","Release","SSTReading","SSTReadingUnits","StateSea","CurrentDir","CurrentSpeed","TairReading","AirThermReadingUnits","ProbTair","BaroReading","AirPressureReadingUnits","BarometerType","BarTempReading","BarTempReadingUnits","HumReading","HumidityUnits","HumidityMethod","PumpWater","WaterAtThePumpUnits","LifeOnBoard","LifeOnBoardMemo","Cargo","CargoMemo","ShipAndRig","ShipAndRigMemo","Biology","BiologyMemo","WarsAndFights","WarsAndFightsMemo","Illustrations","TrivialCorrection","OtherRem"
"15178","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Cape of Good Hope","UK","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17710417","standard","2","1771","4","17","Wednesday","","12","","NA","1771041711","N50W","NA","118","32","14","0","S","344","8","0","W","NA","NA","NA","","NA","NA","NA","","-32.2333","15.8667","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","S","S","fresh breezes","NA","fresh breezes","","","","","fair","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","swell from the SW","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"15179","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Cape of Good Hope","UK","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17710417","standard","2","1771","4","18","Thursday","","12","","NA","1771041811","NW","NA","85","31","14","0","S","345","19","0","W","NA","NA","NA","","NA","NA","NA","","-31.2333","14.6833","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","S","S","gentle breezes","NA","gentle breezes","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","swell from the SW","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"15180","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Cape of Good Hope","UK","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17710417","standard","2","1771","4","19","Friday","","12","","NA","1771041911","N50W","NA","16","31","4","0","S","345","33","0","W","NA","NA","NA","","NA","NA","NA","","-31.0667","14.45","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","NW","SE-NW","little wind","NA","little wind sometimes calm","","","","","","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","swell from the S","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"15181","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Cape of Good Hope","UK","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17710417","standard","2","1771","4","20","Saturday","","12","","NA","1771042011","","NA","NA","29","40","0","S","346","10","0","W","NA","NA","NA","","NA","NA","NA","","-29.6667","13.8333","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","W","W","gentle breezes","NA","gentle breezes","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"15182","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Cape of Good Hope","UK","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17710417","standard","2","1771","4","21","Sunday","","12","","NA","1771042111","N54W","NA","100","28","43","0","S","347","42","0","W","NA","NA","NA","","NA","NA","NA","","-28.7167","12.3","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","S","S","moderate trade wind","NA","moderate trade wind","","","","","pleasant","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"15183","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Cape of Good Hope","UK","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17710417","standard","2","1771","4","22","Monday","","12","","NA","1771042211","N50W","NA","118","27","27","0","S","349","24","0","W","NA","NA","NA","","NA","NA","NA","","-27.45","10.6","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","SE","SE","fresh trade","NA","fresh trade","","","","","pleasant","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"15184","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Cape of Good Hope","UK","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17710417","standard","2","1771","4","23","Tuesday","","12","","NA","1771042311","N46W","NA","98","26","19","0","S","350","42","0","W","NA","NA","NA","","NA","NA","NA","","-26.3167","9.29999","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","WSW","SEbS-WSW","gentle breezes","NA","gentle breezes","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"15185","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Cape of Good Hope","UK","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17710417","standard","2","1771","4","24","Wednesday","","12","","NA","1771042411","N20W","NA","78","25","6","0","S","351","16","0","W","NA","NA","NA","","NA","NA","NA","","-25.1","8.73334","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","WNW","W. WNW","gentle breezes","NA","gentle breezes","","","","","clear","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"15186","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Cape of Good Hope","UK","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17710417","standard","2","1771","4","25","Thursday","","12","","NA","1771042511","N20W","NA","105","23","28","0","S","351","52","0","W","NA","NA","NA","","NA","NA","NA","","-23.4667","8.13333","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","SW","NW-SW","fresh gales","NA","first part moderate, middle squally, latter fresh gales","","","","","first part clear, latter cloudy","rain","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
"15187","","","","United Kingdom","","","","","Beaglehole C4752","English","Simon Bailey","NA","","Cape of Good Hope","UK","Endeavour","Bark","RN","6x6+8 swivel, 366 1/2bm","British","James Cook","Captain","","","","","Greenwich","12","","","Unknown","Unknown","Unknown","Leagues","nm","360 degrees","17710417","standard","2","1771","4","26","Friday","","12","","NA","1771042612","N50W","NA","168","21","40","0","S","354","12","0","W","NA","NA","NA","","NA","NA","NA","","-21.6667","5.79999","1","1","0","","","","0","","","","NA","","","NA","","","NA","","","SEbS","SSW-SEbS","fresh gales","NA","fresh gales","","","","","cloudy","","NA","0","0","0","0","0","0","0","0","CLIWOC Version 1.0","NA","","","","","NA","","NA","NA","","","NA","","NA","","","NA","","0","","0","","0","","0","","0","","0","0",""
