YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1902,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,5.2,999.9,999.9,999.9,999.9,999.90
1903,6.0,7.2,10.9,14.5,19.6,22.3,25.0,25.1,21.0,16.6,10.8,10.4,6.1,15.0,24.1,16.1,15.35
1904,6.3,9.7,9.4,14.4,19.6,24.5,26.3,25.5,20.1,17.1,8.7,7.2,8.8,14.5,25.4,15.3,16.00
1905,1.3,4.3,9.9,14.3,19.6,22.7,26.7,24.6,22.3,17.8,13.4,6.6,4.3,14.6,24.7,17.8,15.34
1906,3.3,6.1,11.2,14.4,18.6,22.4,26.6,24.3,19.7,13.9,11.1,6.7,5.3,14.7,24.4,14.9,14.85
1907,2.0,4.9,5.9,12.8,22.0,23.6,25.8,24.8,19.9,17.3,10.5,7.2,4.5,13.6,24.7,15.9,14.68
1908,4.7,6.5,10.1,14.4,21.8,23.8,25.2,25.1,20.4,15.0,7.8,6.3,6.1,15.4,24.7,14.4,15.17
1909,3.3,2.6,11.4,15.8,999.9,23.7,26.4,26.0,23.6,17.0,10.4,7.7,4.1,16.0,25.4,17.0,15.62
1910,5.6,9.7,8.8,13.6,18.5,22.3,25.3,25.7,20.8,15.9,10.0,9.0,7.7,13.6,24.4,15.6,15.33
1911,5.3,2.6,9.0,13.7,18.5,22.4,25.0,25.7,21.4,16.2,13.5,7.7,5.6,13.7,24.4,17.0,15.19
1912,3.1,8.0,11.8,12.5,17.7,21.9,25.8,24.9,18.2,14.2,9.6,7.1,6.3,14.0,24.2,14.0,14.62
1913,4.9,4.2,10.6,15.5,18.0,23.2,25.2,23.7,21.8,16.4,10.4,6.1,5.4,14.7,24.0,16.2,15.08
1914,4.1,8.7,11.0,15.9,18.5,23.1,25.1,24.3,19.8,14.5,8.9,7.0,6.3,15.1,24.2,14.4,15.00
1915,9.1,8.0,10.3,14.2,18.5,22.8,26.4,25.6,19.8,16.9,11.2,6.8,8.0,14.3,24.9,16.0,15.82
1916,6.4,6.8,12.3,14.1,19.2,25.9,26.8,25.2,21.6,16.6,13.5,11.0,6.7,15.2,26.0,17.2,16.27
1917,9.3,6.4,11.2,13.6,17.0,21.6,25.1,25.4,22.6,18.0,12.4,6.0,8.9,13.9,24.0,17.7,16.13
1918,6.0,6.6,8.8,14.2,19.2,21.9,26.0,25.6,24.4,18.3,10.7,7.7,6.2,14.1,24.5,17.8,15.64
1919,8.4,7.1,11.5,15.3,14.3,22.7,25.7,24.7,23.0,16.4,11.3,6.6,7.7,13.7,24.4,16.9,15.68
1920,6.4,5.2,12.8,16.4,19.6,23.3,25.7,25.4,20.7,13.9,6.3,7.7,6.1,16.3,24.8,13.6,15.19
1921,7.4,6.2,10.3,14.0,20.9,20.5,25.9,26.0,20.8,16.9,12.8,6.9,7.1,15.1,24.1,16.8,15.78
1922,6.4,6.6,12.0,15.6,18.6,23.8,27.0,26.3,23.3,18.7,7.5,2.8,6.6,15.4,25.7,16.5,16.06
1923,6.1,8.0,10.3,13.8,19.8,22.4,25.2,25.0,22.9,17.4,14.7,8.8,5.6,14.6,24.2,18.3,15.70
1924,3.1,6.8,10.1,16.2,20.1,23.6,25.6,25.2,24.2,16.5,9.1,6.8,6.2,15.5,24.8,16.6,15.78
1925,5.0,9.2,9.4,13.8,18.2,22.1,25.2,25.3,22.5,17.3,14.2,4.8,7.0,13.8,24.2,18.0,15.75
1926,6.0,9.2,9.0,14.9,18.6,22.6,24.6,23.7,21.9,18.1,14.8,8.0,6.7,14.2,23.6,18.3,15.68
1927,7.3,4.6,12.5,14.2,18.5,24.7,26.3,25.8,23.3,16.9,12.2,6.4,6.6,15.1,25.6,17.5,16.19
1928,5.5,4.3,7.2,15.0,17.5,22.6,26.3,25.6,22.8,16.1,12.7,4.8,5.4,13.2,24.8,17.2,15.17
1929,3.8,1.2,6.8,12.8,20.2,23.5,25.1,26.0,19.3,16.2,13.3,7.6,3.3,13.3,24.9,16.3,14.42
1930,6.0,6.0,10.6,15.0,18.3,21.9,25.5,25.3,22.1,16.8,11.4,8.2,6.5,14.6,24.2,16.8,15.54
1931,7.2,8.1,9.3,12.0,19.0,24.2,26.7,26.2,20.8,15.3,10.1,3.4,7.8,13.4,25.7,15.4,15.59
1932,4.3,2.2,6.7,13.4,18.7,23.4,26.5,25.4,23.4,20.8,11.0,8.5,3.3,12.9,25.1,18.4,14.93
1933,4.5,6.9,8.4,12.8,16.9,22.1,24.8,24.6,19.8,17.0,13.5,4.8,6.6,12.7,23.8,16.8,14.98
1934,4.6,5.0,11.9,15.2,19.8,23.2,26.2,25.6,22.4,16.9,12.7,9.3,4.8,15.6,25.0,17.3,15.69
1935,3.8,6.1,7.5,14.0,18.0,24.2,25.4,25.3,22.1,19.1,11.4,8.5,6.4,13.2,25.0,17.5,15.52
1936,9.8,7.6,11.5,15.3,17.7,22.3,26.4,25.2,20.9,15.6,11.6,6.5,8.6,14.8,24.6,16.0,16.03
1937,4.1,7.5,12.2,13.8,19.0,23.7,25.7,25.3,22.9,16.2,12.1,7.4,6.0,15.0,24.9,17.1,15.75
1938,4.2,6.0,10.4,12.3,17.8,23.5,26.9,26.5,21.6,17.3,12.2,8.2,5.9,13.5,25.6,17.0,15.51
1939,7.3,7.3,7.9,14.9,19.2,22.5,26.6,26.0,21.3,17.9,11.7,7.1,7.6,14.0,25.0,17.0,15.90
1940,2.5,6.2,7.5,13.3,16.9,22.3,26.0,23.7,20.8,17.9,12.4,3.6,5.3,12.6,24.0,17.0,14.72
1941,6.3,9.6,10.4,15.0,18.6,23.1,25.4,25.4,18.3,15.1,9.5,4.2,6.5,14.7,24.6,14.3,15.03
1942,0.3,5.0,8.0,13.3,20.1,24.0,24.8,25.5,23.2,16.9,10.1,6.8,3.2,13.8,24.8,16.7,14.62
1943,3.1,6.4,7.6,13.5,17.9,22.0,26.0,26.8,23.1,18.3,13.2,7.9,5.4,13.0,24.9,18.2,15.39
1944,4.5,6.2,8.2,14.4,17.8,24.2,26.0,24.7,22.6,17.7,10.8,7.1,6.2,13.5,25.0,17.0,15.42
1945,3.2,6.2,8.8,14.0,22.7,24.4,27.3,27.3,21.8,14.8,12.0,6.6,5.5,15.2,26.3,16.2,15.80
1946,3.8,6.6,10.4,14.7,20.6,24.9,27.6,27.8,24.9,14.9,13.4,7.5,5.7,15.2,26.8,17.7,16.35
1947,2.7,7.9,13.3,17.0,20.2,24.2,26.7,26.0,22.0,15.9,12.1,7.9,6.0,16.8,25.6,16.7,16.29
1948,9.0,5.7,9.8,14.4,20.2,21.9,25.4,26.6,22.2,17.4,10.9,2.6,7.5,14.8,24.6,16.8,15.95
